feature,coefficient,abs_importance,direction
win_pct_diff,0.140283060368315,0.140283060368315,Favors Home
rapg_diff,0.10161566915279198,0.10161566915279198,Favors Home
run_diff_per_game_diff,0.06308519030484765,0.06308519030484765,Favors Home
recent_rpg_diff,0.04671316937666967,0.04671316937666967,Favors Home
home_recent_win_pct,-0.046194334747383936,0.046194334747383936,Favors Away
away_recent_rpg,-0.03977880771000518,0.03977880771000518,Favors Away
home_recent_rpg,0.02627026024214943,0.02627026024214943,Favors Home
recent_win_pct_diff,-0.025651617679656038,0.025651617679656038,Favors Away
away_recent_win_pct,-0.007907719014278843,0.007907719014278843,Favors Away
rpg_diff,0.0029526878992000138,0.0029526878992000138,Favors Home
home_field,0.0,0.0,Favors Away
