feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
opp_adj_offense_diff,2025,2428,0.5539538714991763,0.6807024513885377,0.24389328371926566,-0.00039571471622978915,-0.00017425434637949322
opponents_faced_scaled_diff,2025,2428,0.5588962108731467,0.6809215433650219,0.24398115811737756,-0.00017662273974561327,-8.637994826760087e-05
opp_adj_defense_diff,2025,2428,0.5556013179571664,0.681316760293837,0.24417457097205922,0.0002185941890695542,0.00010703290641406182
sos_rapg_diff,2025,2428,0.557660626029654,0.6814766353084531,0.24425372625298253,0.00037846920368567183,0.00018618818733737164
sos_rpg_diff,2025,2428,0.5572487644151565,0.6814889805872179,0.2442566232848723,0.00039081448245037453,0.00018908521922714194
sos_run_diff_pg_diff,2025,2428,0.5551894563426688,0.6815269937956773,0.2442766141073888,0.00042882769090979433,0.0002090760417436388
opp_adj_recent_run_diff_pg_diff,2025,2428,0.5584843492586491,0.6816298568588767,0.2443275221979402,0.0005316907541091931,0.0002599841322950547
opp_adj_recent_win_pct_diff,2025,2428,0.5564250411861614,0.6816725399498077,0.24434673181127822,0.0005743738450402214,0.0002791937456330662
sos_win_pct_diff,2025,2428,0.5556013179571664,0.6816901094096703,0.24435239809648507,0.0005919433049028644,0.00028486003083991185
opp_adj_run_diff_pg_diff,2025,2428,0.5572487644151565,0.6818079373162166,0.244413100296904,0.0007097712114491062,0.0003455622312588391
opp_adj_win_pct_diff,2025,2428,0.556013179571664,0.6818568791499744,0.24444009164985273,0.0007587130452069157,0.0003725535842075689
away_opponents_faced_scaled,2025,2428,0.5547775947281713,0.6823039978338985,0.24466144067887452,0.0012058317291310239,0.0005939026132293634
home_opponents_faced_scaled,2025,2428,0.5551894563426688,0.6823128295994962,0.24466582306690385,0.0012146634947287627,0.0005982850012586916
