feature_set,test_season,games,accuracy,log_loss,brier
team_plus_lineup_platoon,2025,2428,0.556836902800659,0.6803556157961342,0.24375819532565068
team_plus_team_vs_hand,2025,2428,0.5564250411861614,0.6809404977550787,0.24399795403524335
team_plus_platoon_all,2025,2428,0.5453047775947282,0.6810254701395018,0.24409639144484915
team_only,2025,2428,0.5597199341021417,0.6810981661047675,0.24406753806564516
team_plus_starter_platoon_all,2025,2428,0.556836902800659,0.6825366546659711,0.24480403772000678
team_plus_starter,2025,2428,0.5539538714991763,0.6827452469061243,0.24486443003806221
team_vs_hand_only,2025,2428,0.542833607907743,0.6881258322516624,0.24740061470626945
platoon_all_only,2025,2428,0.5362438220757826,0.6882121405476926,0.24747616442786682
lineup_platoon_only,2025,2428,0.5403624382207578,0.6897494903654856,0.24834156330790924
